t	fluks1	fluks2	P	Tf	Tc	v	I	Xe	Pm	Sm	z1	z2	rho	pcrit	Tfin	Tcin	mdotf	mdotc	c1	c2	c3	c4	c5	c6
8.28316412909	464339705.306	1.02297487757e+12	199997.844669	72.1203939382	56.5970860338	0.0	7.04552976297e+13	9.10206983083e+13	9.64078051537e+13	6.24144999749e+15	40.0	32.36	-1.08103026107e-08	0.00643633	70.0	55.0	5.0	10.0	1336241775.84	3626298447.54	887740191.546	660744996.951	51334124.8259	7074100.38118
8.80092077074	464370224.632	1.02304255718e+12	200011.07539	72.1203958671	56.5970862707	0.0	7.04552974829e+13	9.10206982026e+13	9.6407805476e+13	6.24144999733e+15	40.0	32.36	-1.13344267812e-08	0.00643633	70.0	55.0	5.0	10.0	1336241920.15	3626299273.07	887740545.017	660745063.053	51334054.5728	7074070.05566
9.31867741239	464337812.016	1.0229706838e+12	199997.02306	72.1203989376	56.5970865039	0.0	7.04552973429e+13	9.10206980964e+13	9.64078057995e+13	6.24144999718e+15	40.0	32.36	-1.21703712499e-08	0.00643633	70.0	55.0	5.0	10.0	1336242119.57	3626300457.17	887741204.495	660745746.525	51334170.4362	7074107.86329
9.83643405404	464372909.236	1.02304851511e+12	200012.238489	72.120400729	56.5970867375	0.0	7.04552971963e+13	9.10206979906e+13	9.64078061219e+13	6.24144999702e+15	40.0	32.36	-1.26569127412e-08	0.00643633	70.0	55.0	5.0	10.0	1336242263.64	3626301264.16	887741512.429	660745725.759	51334084.6469	7074072.31857
10.3541906957	464335554.353	1.02296568224e+12	199996.043562	72.1204038346	56.5970869665	0.0	7.04552970575e+13	9.10206978844e+13	9.64078064457e+13	6.24144999686e+15	40.0	32.36	-1.35024449524e-08	0.00643633	70.0	55.0	5.0	10.0	1336242470.57	3626302481.46	887742174.066	660746421.804	51334213.4139	7074115.25042
10.8719473373	464375927.18	1.02305521241e+12	200013.546176	72.1204054683	56.5970871957	0.0	7.04552969111e+13	9.10206977786e+13	9.64078067681e+13	6.2414499967e+15	40.0	32.36	-1.39459145427e-08	0.00643633	70.0	55.0	5.0	10.0	1336242613.25	3626303262.38	887742432.497	660746312.621	51334110.2688	7074073.76174
11.389703979	464332885.0	1.02295976788e+12	199994.885651	72.1204086167	56.5970874196	0.0	7.04552967735e+13	9.10206976723e+13	9.6407807092e+13	6.24144999655e+15	40.0	32.36	-1.48031180856e-08	0.00643633	70.0	55.0	5.0	10.0	1336242827.8	3626304513.74	887743099.814	660747033.895	51334254.3862	7074122.65562
11.9074606206	464379336.431	1.02306277754e+12	200015.023571	72.1204100725	56.5970876438	0.0	7.0455296627e+13	9.10206975665e+13	9.64078074144e+13	6.24144999639e+15	40.0	32.36	-1.51980007881e-08	0.00643633	70.0	55.0	5.0	10.0	1336242967.91	3626305260.99	887743304.654	660746832.857	51334131.71	7074074.3794
12.4252172623	464329748.409	1.02295281748e+12	199993.525236	72.120413275	56.5970878619	0.0	7.04552964907e+13	9.10206974601e+13	9.64078077385e+13	6.24144999623e+15	40.0	32.36	-1.60699961698e-08	0.00643633	70.0	55.0	5.0	10.0	1336243190.36	3626306548.43	887743982.106	660747592.414	51334293.926	7074130.19207
12.9325123866	484229321.67	1.06705336284e+12	208613.275302	72.1268111729	56.5971787491	0.0	7.04553323706e+13	9.10206952192e+13	9.64078141808e+13	6.24144998996e+15	40.0	32.46	0.000232684966426	0.00643633	70.0	55.0	5.0	10.0	1336538837.48	3628267722.88	889468000.181	664079223.432	52157230.387	7287148.54097
